"";"homo_code_eps";"ANIO_";"def_mat_42d_no";"def_mat_42d_si";"def_mat_1y_si";"def_mat_1y_no";"No_Definido";"N_Enfermedades_dentales";"M_Anomalias_congenitas";"L_Enfermedades_del_sistema_musculo_esqueletico";"K_Enfermedades_de_la_piel";"J_Enfermedades_del_sistema_genito_urinario";"I_Enfermedades_digestivas";"H_Enfermedades_respiratorias";"G_Enfermedades_cardiovasculares";"F_Enfermedades_de_los_organos_de_los_sentidos";"Eventos_lesiones_de_intencion_no_determinada";"E_Trastornos_mentales_y_enfermedades_del_sistema_nervioso";"E_Deficiencias_de_la_nutricion";"D_Otras_enfermedades_endocrinas_metabolicas_hematologicas_e_immunologicas";"D_Ciertas_afecciones_originadas_en_el_periodo_perinatal";"C_Diabetes_mellitus";"C_Causas_maternas";"B_Otros_tumores";"B_Lesiones_intencionales";"B_Infecciones_respiratorias";"A_Tumores_malignos";"A_Enfermedades_infecciosas_y_parasitarias";"A_Accidentes";"Signos_y_sintomas_mal_definidos";"Lesiones";"Enfermedades_no_transmisibles";"Condiciones_transmisibles_y_nutricionales";"Asegurados";"CONTRIBUTIVO";"EXCEPCION";"SUBSIDIADO";"FEMENINO";"MASCULINO";"COMUNIDADES_INDIGENAS";"De_0_a_9";"De_10_a_19";"De_20_a_29";"De_30_a_39";"De_40_a_49";"De_50_a_59";"De_60_a_69";"De_70_a_79";"Mayor_De_80";"OP_MEDI_GENERAL";"OP_ODO_GENERAL";"Conteo_de_Prestadores";"Costo_Consulta";"Costo_Procedimiento";"Neto_A_Pagar_Consulta";"Numero_de_Atenciones";"Numero_Dias_Estancia";"Valor_Cuota_Moderadora";"Atx_Conteo_de_Prestadores";"Costo_Consulta_xAt";"Costo_Procedimiento_xAt";"Neto_A_Pagar_Consulta_xAt";"Numero_Dias_Estancia_xAt";"Valor_Cuota_Moderadora_xAt";"deaths_percentage_group"
"270";"ESS024";2012;5816;12;12;5816;0;0;8,38650955938759;3,20660659623643;1,97329636691473;10,9147955294971;15,9713674697161;24,604539074968;107,174658928056;0;2,71328250450775;3,7615961994312;4,13158926822771;1,84996534398256;39,2192652924302;11,5314506441579;0,739986137593022;5,24156847461724;24,1112149832393;11,0997920638953;48,6540885467412;16,0946984926482;10,6681334836327;0,328396564059367;0,150325460667065;0,0743129279072617;0,281742869714546;1621652;0;0;1;0,515344845873221;0,484655154126779;0,00442080051700365;0,166297701356395;0,248259182611312;0,184900336200369;0,110280134085488;0,1003667864622;0,0780364714501015;0,0495537883590314;0,0348693801136125;0,0274362193614906;2,12811040169988;3,78310554103737;0,000667220834063042;15906,9767681352;91290,2745515067;15875,1953415406;2,00406930710165;0,0786494266340744;35,1554186718235;3003,60720887246;7937,3386497997;45552,4538138523;7921,4802029476;0,0392448636159295;17,5420174079042;0,105263158679008
"271";"ESS024";2015;8453;18;23;8448;0;0;5,97805082177345;3,24390354669877;2,13170804497348;13,0219556660336;16,7756154843565;24,931715830342;115,390283303999;0;2,50243987888191;5,51463602938791;3,38292798441443;2,59512283735902;52,87562781119;12,1414675605011;1,01951254324819;5,51463602938791;22,2439100345059;14,7829318770987;52,9219692904285;14,1341511677589;13,6707363753734;0,313128414320475;0,0794461224307898;0,0625549762600325;0,202501068217438;2157894;0,00967100330229381;0;0,990328996697706;0,512214687097698;0,487785312902302;0,00620512407004237;0,160474054796019;0,209290169025911;0,182634550167895;0,124843945068664;0,102840547311406;0,0924748852353267;0,0574986537800281;0,0369383296862589;0,0330048649284905;4,02438152104617;4,07955930614158;0,000537561159167225;16866,0220846992;558610264,129864;18181,9194003459;1,75525025789033;0,0666575837367359;8478350,38730624;3265,21034482759;9608,89879313895;318251065,122342;10358,5909294775;0,0379761139114447;4830280,09777735;0,147058829665184
"272";"ESS024";2017;10395;21;28;10388;2;0,0447287803311451;8,27482436126184;4,0703190101342;2,77318438053099;13,865921902655;19,9490360276907;29,610452579218;137,09371171496;0,0894575606622901;2,77318438053099;6,08311412503573;4,51760681344565;2,6837268198687;72,0580651134747;12,9713462960321;1,25240584927206;6,48567314801603;18,0256984734515;17,3547667684843;65,6171207457898;16,3260048208679;14,492124827291;0,361864647706435;0,0441113212270417;0,0562202277820593;0,131406318954074;2235697;0,0380440641106554;0;0,961955935889345;0,510467652816996;0,489532347183004;0,0211222719357766;0,159961300659257;0,195233522252792;0,173996744639368;0,125649405979433;0,105149311378062;0,0965358901496938;0,0658519468425283;0,0398175602507853;0,0378043178480805;1,685;4,025;0,00046562660324722;7613,14664368204;21837,3722134887;7919,19608128024;0,880252556585262;0,0117198350223666;16,1688417527062;1890,46878001921;8648,82082616777;24808,0758756348;8996,50449412036;0,0133141732275462;18,3684121468838;0
"273";"ESS024";2018;10710;25;38;10697;0;0,0435441829761404;7,70732038677685;3,8754322848765;3,43999045511509;13,3680641736751;22,2510775008077;30,4373839003221;143,129729442574;0;2,78682771047299;7,66377620380071;4,83340431035158;3,04809280832983;69,8884136767053;15,2840082246253;1,65467895309334;8,09921803356212;14,6308454799832;17,5918499223607;67,2757626981369;15,6323616884344;7,14124600808703;0,302462566611714;0,0710811761581374;0,0609889258687863;0,132183190504784;2296518;0,045782353981114;0;0,954217646018886;0,509128167077288;0,490871832922712;0,0205262924131228;0,158911883120446;0,187589211144872;0,164739836569972;0,128450985361317;0,107959092852745;0,100113301964104;0,0703421440633167;0,041552036604982;0,0403415083182453;1,82;4,325;0,000479856896397067;11636,10917978;27098,7680481973;11865,4908254714;1,3930715979583;0,034832298288104;13,7947719155696;2903,09800362976;8352,8435988746;19452,5307155164;8517,50250515596;0,0250039540962249;9,90241415860271;0
"274";"ESS024";2019;12761;16;32;12745;9;0,0374414322396192;6,62713350641259;2,13416163765829;3,63181892724306;11,7566097232404;18,8704818487681;31,6005688102386;135,051246088306;0,0374414322396192;3,44461176604496;9,69733095006137;4,86738619115049;5,57877340370326;53,8033381283328;14,0779785220968;1,19812583166781;7,93758363479927;39,7253596062359;16,1372572952759;66,7955151154806;17,4477074236625;20,3306977061132;0,486726162547111;0,150746457556892;0,0871520284363934;0,237367083942069;2670838;0,0486165765201783;0;0,951383423479822;0,512513675483126;0,487486324516874;0,0194201220740457;0,158336447212448;0,186999735663488;0,157062689687656;0,126247267711482;0,110689978201598;0,102480195354417;0,0739419612870567;0,0427266648145638;0,0415150600672897;3,295;5,535;0,000505084920912463;77930,6956481262;188334,316882776;77910,4070789205;7,1601411242464;0,269075848104602;208,274988913592;14176,1134173462;10883,9608459992;26303,157104686;10881,1273027975;0,037579685013949;29,088112273138;0,125
"275";"ESS024";2020;17899;22;43;17878;2282;0;7,28828895727963;2,54402539074855;3,12846365619078;12,7201269537427;20,1115520755122;29,978245145037;166,53052692954;0,034378721496602;4,40047635156506;10,794918549933;6,01627626190535;7,76959105823205;57,5156010638152;22,6555774662607;1,47828502435389;7,39142512176943;38,3322744687112;21,3835647708864;69,2387450941564;16,2267565463961;22,3805476942879;0,247334988706017;0,103527217825757;0,0581575444620005;0,142558445061313;2908776;0,0738853730916372;0;0,926114626908363;0,510495823672913;0,489504176327087;0,0192857751851638;0,154500037129019;0,179493711444264;0,157150292769192;0,126197754656942;0,112369257722148;0,104216000132014;0,0778210491285682;0,0442395701834724;0,0440123268343798;2,7875;3,64;0,000499522823345627;91060,2370347528;235125,242759497;90970,5439098782;8,19881352156371;0,741443480006711;89,7660730836613;16413,2911218169;11106,5139846461;28677,9595780651;11095,5742157834;0,0904330215654545;10,948666273183;0,128378376364708
"276";"ESS062";2012;7555;25;26;7554;1;0;9,23025233663838;3,87670598138812;1,96912049848285;10,030207539147;17,4144094084577;29,1675973837773;126,08524691848;0;4,92280124620714;4,06131102812089;4,06131102812089;2,39986560752598;76,9803044875641;12,9223532712937;1,59991040501732;5,41508137082785;36,9825443621311;11,0763028039661;65,5347915901325;13,6607734582248;20,0604150782941;0,278794930504405;0,126761329021985;0,0745886975662696;0,0334081105817049;1625091;0;0;1;0,511492587184348;0,488507412815652;0,0186955684327831;0,184135534563911;0,247467372596365;0,163297316888716;0,110923634430318;0,0976979135322268;0,0776781115642139;0,0538689833369331;0,0380391005795983;0,026892032507718;1,83941945857878;2,39442405420666;0,000863336268553576;35534,6076595095;103717,468016868;51532,6947912455;4,7164072658085;0,129779809253759;0;5463,00142551675;7534,25343844179;21990,7786099741;10926,2605807668;0,0275166672298626;0;0,142857149243355
"277";"ESS062";2013;8630;16;16;8630;0;0;9,20052459718431;4,23781739021823;2,62075549131917;9,42356761772211;17,6203986224863;34,9062327141659;131,260817586496;0;3,06684153239477;5,79911853398283;4,12629587994932;2,62075549131917;82,8604821297932;14,609317845226;0,892172082151205;6,24520457505844;33,679496101208;11,1521510268901;67,8608389986261;14,8323608657638;16,6167050300662;0,332748759416133;0,132824630227199;0,0763628980946178;0,0366921554422125;1793376;0;0;1;0,511699164034759;0,488300835965241;0,0178930687150938;0,179859661331478;0,238185968809664;0,159697687489963;0,113459196509823;0,100233302999483;0,082350271220313;0,0571062621558446;0,0396866022518423;0,02942104723159;2,11077741120574;2,5101959579411;0,000858158021519191;66609,3076281828;136155,254465879;69625,9541228387;7,50144810681084;0,143483575111968;0;8741,33658219623;8879,52655004116;18150,529408083;9281,66843674127;0,0191274502028073;0;0,159090906381607
"278";"ESS062";2014;9774;22;26;9770;2;0;9,37716423255819;4,29315952815917;1,5816903524797;13,8962795253573;20,957397170356;36,435367048193;153,42396419053;0,0564889411599891;5,02751576323903;6,60920611571873;4,1236927046792;2,54200235219951;98,8556470299809;16,7772155245168;1,41222352899973;6,66569505687871;32,3116743435138;13,5008569372374;78,7455839770248;15,0825472897171;21,8047312877558;0,333536934672799;0,137451418752709;0,0811089684667433;0,0310575091079003;1770258;0,000389773694003925;0;0,999610226305996;0,513388443944329;0,486611556055671;0,0119541897282769;0,173910808481024;0,230833584709121;0,161285530131766;0,113888484051477;0,100696056732973;0,0852757055751196;0,0600138510883724;0,0414075236490952;0,0326884555810509;4,30464459065509;4,20639895067794;0,000900433722090226;58492,0662485355;170473,442126515;58520,6130496233;7,69151954121942;0,206450698146824;33,3248893664087;8542,01631116688;7604,74779204191;22163,8183733312;7608,45925645863;0,0268413409132538;4,33267954242568;0,126984134316444
"279";"ESS062";2015;10446;15;22;10439;1;0,0481725038092407;8,14115314376168;3,13121274760065;2,26410767903431;12,3321609751656;16,4749963027603;35,4067902997919;139,074018497278;0;5,05811289997028;6,35877050281978;3,95014531235774;2,55314270188976;86,5659893452056;14,5480961503907;1,0597950838033;5,58801044187193;30,8785749417233;14,6444411580092;71,2471331338671;13,4401285627782;20,5214866227366;0,473098108181474;0,237216262792409;0,0888473186582223;0,0369150070436229;2075873;0,00556103383973875;0;0,994438966160261;0,513572362085735;0,486427637914265;0,0121081588324527;0,17148062525983;0,221005812976035;0,1587707918548;0,117123253686521;0,100754236892141;0,0913509641485775;0,0630529902359152;0,0420300278485244;0,0344312970976548;4,12539972590224;4,38381057268722;0,000763534185376466;74634,9535790484;236912,552043887;75846,8241587997;10,4677367064363;0,533417506754989;239,858275048618;13709,5848580442;7129,99912704699;22632,6433963721;7245,77110467097;0,0509582464399403;22,9140531306196;0,122448980808258
